subjID,trialNumber,role,k,ksay,callBS,catchQuestion,catchQuestionAbbr,catchResponse,catchKey,catchResponseTime,condition
subj113,2,sender,4,6,TRUE,"NA","NA",-1,-1,-1,truth
subj113,4,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3896,truth
subj113,6,sender,5,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,8,sender,9,9,TRUE,What number did you actually roll?,truth,9,9,3303,truth
subj113,10,sender,2,8,FALSE,What number did you actually roll?,truth,2,2,3062,truth
subj113,12,sender,1,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,14,sender,7,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,16,sender,0,6,FALSE,What number did you actually roll?,truth,0,0,2777,truth
subj113,18,sender,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,20,sender,8,8,TRUE,What number did you actually roll?,truth,8,8,3055,truth
subj113,22,sender,0,10,FALSE,What number did you actually roll?,truth,0,0,2960,truth
subj113,24,sender,5,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,26,sender,6,8,FALSE,What number did you actually roll?,truth,6,6,5721,truth
subj113,28,sender,5,9,FALSE,"NA","NA",-1,-1,-1,truth
subj113,30,sender,2,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,32,sender,3,5,FALSE,What number did you actually roll?,truth,3,3,3871,truth
subj113,34,sender,7,7,FALSE,What number did you actually roll?,truth,7,7,3111,truth
subj113,36,sender,5,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,38,sender,0,4,FALSE,What number did you actually roll?,truth,0,0,2599,truth
subj113,40,sender,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,42,sender,10,10,FALSE,What number did you actually roll?,truth,10,10,3724,truth
subj113,44,sender,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,46,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3660,truth
subj113,48,sender,5,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,50,sender,7,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,52,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3867,truth
subj113,54,sender,4,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,56,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3661,truth
subj113,58,sender,5,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,60,sender,7,7,FALSE,What number did you actually roll?,truth,7,7,3054,truth
subj113,62,sender,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,64,sender,9,9,FALSE,What number did you actually roll?,truth,9,9,2889,truth
subj113,66,sender,1,0,FALSE,What number did you actually roll?,truth,1,1,3776,truth
subj113,68,sender,0,0,FALSE,"NA","NA",-1,-1,-1,truth
subj113,70,sender,0,10,FALSE,What number did you actually roll?,truth,0,0,3445,truth
subj113,72,sender,6,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,74,sender,8,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,76,sender,10,10,FALSE,What number did you actually roll?,truth,10,10,3587,truth
subj113,78,sender,5,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,80,sender,2,1,TRUE,What number did you actually roll?,truth,2,2,2855,truth
subj113,82,sender,3,3,FALSE,What number did you actually roll?,truth,3,3,2793,truth
subj113,84,sender,3,9,FALSE,"NA","NA",-1,-1,-1,truth
subj113,86,sender,3,2,FALSE,"NA","NA",-1,-1,-1,truth
subj113,88,sender,1,6,FALSE,What number did you actually roll?,truth,1,1,3400,truth
subj113,90,sender,2,2,FALSE,"NA","NA",-1,-1,-1,truth
subj113,92,sender,1,10,FALSE,What number did you actually roll?,truth,1,1,2848,truth
subj113,94,sender,8,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,96,sender,9,9,FALSE,What number did you actually roll?,truth,9,9,4686,truth
subj113,98,sender,6,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,100,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3819,truth
subj080,1,sender,1,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,3,sender,6,6,TRUE,What number did you actually roll?,truth,6,6,4407,truth
subj080,5,sender,2,5,FALSE,"NA","NA",-1,-1,-1,truth
subj080,7,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3439,truth
subj080,9,sender,4,6,FALSE,"NA","NA",-1,-1,-1,truth
subj080,11,sender,5,5,FALSE,What number did you actually roll?,truth,5,5,2931,truth
subj080,13,sender,6,6,FALSE,What number did you actually roll?,truth,6,6,3451,truth
subj080,15,sender,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj080,17,sender,1,9,FALSE,What number did you actually roll?,truth,1,1,4039,truth
subj080,19,sender,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj080,21,sender,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj080,23,sender,7,7,FALSE,What number did you actually roll?,truth,7,7,3862,truth
subj080,25,sender,10,10,FALSE,What number did you actually roll?,truth,10,10,4003,truth
subj080,27,sender,9,9,TRUE,"NA","NA",-1,-1,-1,truth
subj080,29,sender,6,6,FALSE,What number did you actually roll?,truth,6,6,4245,truth
subj080,31,sender,1,9,FALSE,"NA","NA",-1,-1,-1,truth
subj080,33,sender,6,6,FALSE,What number did you actually roll?,truth,6,6,5159,truth
subj080,35,sender,2,8,FALSE,"NA","NA",-1,-1,-1,truth
subj080,37,sender,5,5,FALSE,What number did you actually roll?,truth,5,5,3662,truth
subj080,39,sender,2,8,FALSE,"NA","NA",-1,-1,-1,truth
subj080,41,sender,9,9,FALSE,What number did you actually roll?,truth,9,9,3341,truth
subj080,43,sender,0,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,45,sender,1,9,TRUE,What number did you actually roll?,truth,1,1,3446,truth
subj080,47,sender,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj080,49,sender,3,7,TRUE,"NA","NA",-1,-1,-1,truth
subj080,51,sender,0,10,FALSE,What number did you actually roll?,truth,0,0,3354,truth
subj080,53,sender,0,10,FALSE,"NA","NA",-1,-1,-1,truth
subj080,55,sender,4,6,FALSE,What number did you actually roll?,truth,4,4,2943,truth
subj080,57,sender,1,9,TRUE,"NA","NA",-1,-1,-1,truth
subj080,59,sender,0,10,TRUE,What number did you actually roll?,truth,0,0,3137,truth
subj080,61,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,5550,truth
subj080,63,sender,3,7,FALSE,"NA","NA",-1,-1,-1,truth
